"","term","M1_OR","M1_p","M2_OR","M2_p","M3_OR","M3_p","grupo"
"1","(Intercept)","1.08 (0.26 - 4.59)",0.912,"0.23 (0.01 - 2.76)",0.268,"0 (0 - 0.44)",0.049,"(Intercept)"
"2","Terciles PC1","1.19 (0.3 - 4.78)",0.8,"1.29 (0.31 - 5.6)",0.725,"0.89 (0.17 - 4.38)",0.888,"Terciles PC1"
"3","Terciles PC1","1.31 (0.34 - 5.23)",0.693,"1.33 (0.31 - 5.97)",0.698,"1.18 (0.25 - 5.86)",0.835,"Terciles PC1"
"4","Terciles PC2","0.52 (0.13 - 2.01)",0.346,"0.58 (0.13 - 2.42)",0.455,"0.78 (0.16 - 3.85)",0.754,"Terciles PC2"
"5","Terciles PC2","0.24 (0.05 - 0.92)",0.0445,"0.26 (0.04 - 1.41)",0.132,"0.35 (0.05 - 2.28)",0.279,"Terciles PC2"
"6","Terciles PC3","2.45 (0.65 - 9.94)",0.193,"2.34 (0.57 - 10.52)",0.247,"2.35 (0.47 - 12.8)",0.305,"Terciles PC3"
"7","Terciles PC3","0.97 (0.24 - 3.91)",0.965,"0.67 (0.14 - 2.98)",0.6,"1.16 (0.2 - 6.5)",0.866,"Terciles PC3"
"8","Edad",-,-,"1.04 (1.01 - 1.08)",0.0324,"1.02 (0.98 - 1.07)",0.34,"Edad"
"9","Sexo",-,-,"1.1 (0.18 - 6.93)",0.914,"1.24 (0.18 - 8.88)",0.828,"Sexo"
"10","Colesterol total",-,-,-,-,"0.95 (0.9 - 1.01)",0.106,"Colesterol total"
"11","Glucosa",-,-,-,-,"1.21 (1.03 - 1.47)",0.0366,"Glucosa"
