"Variable","PC1","PC2","PC3","PC4","PC5","PC6"
"ADCY3",0.712,-0.154,0.148,-0.143,0.081,-0.089
"AGRP",0.142,0.16,0.16,0.323,-0.312,-0.29
"ANKRD27",-0.32,-0.306,0.019,-0.457,0.084,0.086
"ANO4",0.783,-0.054,0.041,0.061,-0.144,-0.172
"BDNF",0.008,0.327,-0.147,0.138,0.411,-0.317
"CADM1",-0.183,-0.148,-0.094,0.33,-0.316,0.394
"CADM2",-0.02,0.581,0.08,0.266,0.219,0.312
"CALCR",-0.009,0.09,0.123,0.332,-0.253,0.243
"CNR1",0.193,-0.073,-0.183,-0.288,-0.209,-0.015
"CREBRF",0.012,-0.185,0.511,0.102,0.21,0.153
"DPP9",0.306,-0.092,0.138,0.43,0.516,-0.102
"FTO",-0.185,-0.443,0.47,-0.071,0.285,-0.138
"GIPR",0.179,0.122,0.209,0.117,0.511,0.517
"GPR151",-0.284,-0.374,-0.093,-0.272,-0.119,-0.023
"GPR75",-0.252,0.132,-0.153,-0.058,0.027,-0.452
"KIAA0586",0.115,-0.44,-0.406,0.242,-0.125,0.23
"KIAA1109",0.367,-0.248,0.26,-0.167,-0.242,0.257
"KSR2",-0.141,0.463,0.296,-0.202,-0.269,0.251
"LEP",-0.316,0.405,0.146,-0.197,0.315,0.008
"LEPR",0.721,0.103,-0.111,-0.247,0.02,-0.127
"MC4R",-0.483,-0.261,0.136,0.451,0.017,-0.245
"MRAP2",0.036,-0.029,-0.656,0.042,0.166,-0.061
"NRP1",0,-0.495,-0.214,0.117,0.103,0.236
"NRP2",-0.188,-0.09,0.181,0.211,-0.292,-0.366
"NTRK2",-0.312,0.597,-0.043,-0.162,-0.002,-0.042
"PCSK1",0.627,-0.243,-0.03,-0.095,-0.055,0.096
"PDE3B",-0.328,-0.074,0.298,0.19,-0.377,0.146
"PHIP",-0.128,-0.445,0.393,-0.252,0.154,-0.012
"POMC",0.801,-0.069,0.1,-0.022,0.04,-0.005
"PPARG",-0.167,-0.192,-0.255,-0.409,0.125,0.057
"ROBO1",-0.116,0.296,0.202,-0.63,-0.095,0.167
"SH2B1",0.579,-0.019,0.36,-0.071,-0.084,-0.245
"SIM1",-0.325,-0.332,0.217,-0.087,0.352,-0.156
"SPARC",0.142,-0.033,-0.379,-0.044,0.193,0.274
"TMEM18",0.279,0.356,0.291,0.13,0.019,0.163
"UBR2",-0.255,-0.18,0.231,-0.107,-0.137,-0.072
"UHMK1",0.202,0.382,-0.029,-0.128,-0.082,-0.191
